2024-05-23 10:16:45,240 INFO    StreamThr :234680 [internal.py:wandb_internal():85] W&B internal server running at pid: 234680, started at: 2024-05-23 10:16:45.239555
2024-05-23 10:16:45,242 DEBUG   HandlerThread:234680 [handler.py:handle_request():158] handle_request: status
2024-05-23 10:16:45,245 INFO    WriterThread:234680 [datastore.py:open_for_write():87] open: /home/smartcps/AirSim/PythonClient/Create_adversarial_path_for_vehicle_in_AirSim/Scenarios2_(Train_Adversarial_Vehicle)/Case2/right_side/wandb/run-20240523_101645-zh8y089y/run-zh8y089y.wandb
2024-05-23 10:16:45,248 DEBUG   SenderThread:234680 [sender.py:send():378] send: header
2024-05-23 10:16:45,258 DEBUG   SenderThread:234680 [sender.py:send():378] send: run
2024-05-23 10:16:45,765 INFO    SenderThread:234680 [dir_watcher.py:__init__():211] watching files in: /home/smartcps/AirSim/PythonClient/Create_adversarial_path_for_vehicle_in_AirSim/Scenarios2_(Train_Adversarial_Vehicle)/Case2/right_side/wandb/run-20240523_101645-zh8y089y/files
2024-05-23 10:16:45,765 INFO    SenderThread:234680 [sender.py:_start_run_threads():1123] run started: zh8y089y with start time 1716427005.239455
2024-05-23 10:16:45,776 DEBUG   HandlerThread:234680 [handler.py:handle_request():158] handle_request: check_version
2024-05-23 10:16:45,777 DEBUG   SenderThread:234680 [sender.py:send_request():405] send_request: check_version
2024-05-23 10:16:45,830 DEBUG   HandlerThread:234680 [handler.py:handle_request():158] handle_request: run_start
2024-05-23 10:16:45,866 DEBUG   HandlerThread:234680 [system_info.py:__init__():26] System info init
2024-05-23 10:16:45,866 DEBUG   HandlerThread:234680 [system_info.py:__init__():41] System info init done
2024-05-23 10:16:45,866 INFO    HandlerThread:234680 [system_monitor.py:start():194] Starting system monitor
2024-05-23 10:16:45,867 INFO    SystemMonitor:234680 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-23 10:16:45,867 INFO    HandlerThread:234680 [system_monitor.py:probe():214] Collecting system info
2024-05-23 10:16:45,868 INFO    SystemMonitor:234680 [interfaces.py:start():188] Started cpu monitoring
2024-05-23 10:16:45,869 INFO    SystemMonitor:234680 [interfaces.py:start():188] Started disk monitoring
2024-05-23 10:16:45,870 INFO    SystemMonitor:234680 [interfaces.py:start():188] Started gpu monitoring
2024-05-23 10:16:45,871 INFO    SystemMonitor:234680 [interfaces.py:start():188] Started memory monitoring
2024-05-23 10:16:45,873 INFO    SystemMonitor:234680 [interfaces.py:start():188] Started network monitoring
2024-05-23 10:16:45,903 DEBUG   HandlerThread:234680 [system_info.py:probe():150] Probing system
2024-05-23 10:16:45,908 DEBUG   HandlerThread:234680 [system_info.py:_probe_git():135] Probing git
2024-05-23 10:16:45,920 DEBUG   HandlerThread:234680 [system_info.py:_probe_git():143] Probing git done
2024-05-23 10:16:45,920 DEBUG   HandlerThread:234680 [system_info.py:probe():198] Probing system done
